9269774	PEK	1	P32	2013 3 4 22 35	2013 3 5 20 11	1296	321	600	
9269775	PEK	1	P32	2013 3 4 22 35	2013 3 5 19 03	1228	449	600	
9336235	PEK	1	P32	2013 3 4 23 05	2013 3 6 13 48	2323	624	600	
9269778	PEK	1	P32	2013 3 4 23 10	2013 3 6 21 15	2766	869	600	
9336260	PEK	1	P32	2013 3 4 23 25	2013 3 6 0 17	1492	470	600	
9336224	PEK	1	P32	2013 3 5 2 10	2013 3 5 21 07	1137	342	600	
9301468	PEK	1	P32	2013 3 5 3 15	2013 3 6 18 07	2332	562	720	
9360316	PEK	1	P32	2013 3 5 5 20	2013 3 5 23 34	1094	291	600	
9269789	PEK	1	P32	2013 3 5 7 30	2013 3 6 14 26	1857	425	600	
9269787	PEK	1	P32	2013 3 5 7 50	2013 3 6 18 05	2055	437	1440	
9341151	PEK	1	P32	2013 3 5 8 30	2013 3 6 16 10	1900	386	600	
9336241	PEK	1	P32	2013 3 5 9 00	2013 3 6 4 40	1180	231	720	
9358872	PEK	1	P32	2013 3 5 10 15	2013 3 6 12 29	1575	229	600	
9336545	PEK	1	P32	2013 3 5 21 30	2013 3 6 18 48	1278	484	600	
9336565	PEK	1	P32	2013 3 5 22 05	2013 3 7 13 41	2376	651	600	
9336544	PEK	1	P32	2013 3 5 22 25	2013 3 6 18 30	1205	431	600	
9269802	PEK	1	P32	2013 3 5 22 35	2013 3 6 19 54	1279	324	600	
9269803	PEK	1	P32	2013 3 5 22 35	2013 3 6 19 11	1236	436	600	
9358471	PEK	1	P32	2013 3 5 22 45	2013 3 7 6 06	1881	562	720	
9269806	PEK	1	P32	2013 3 5 23 10	2013 3 7 20 43	2734	810	600	
9271461	PEK	1	P32	2013 3 6 1 30	2013 3 7 14 04	2194	617	600	
9354154	PEK	1	P32	2013 3 6 3 00	2013 3 6 22 43	1183	340	600	
9300678	PEK	1	P32	2013 3 6 3 15	2013 3 7 18 02	2327	525	720	
9336570	PEK	1	P32	2013 3 6 5 20	2013 3 6 23 25	1085	313	600	
9336569	PEK	1	P32	2013 3 6 5 25	2013 3 6 22 45	1040	248	600	
9336567	PEK	1	P32	2013 3 6 6 55	2013 3 7 1 44	1129	357	600	
9357057	PEK	1	P32	2013 3 6 7 05	2013 3 7 0 18	1033	228	600	
9341264	PEK	1	P32	2013 3 6 7 30	2013 3 7 14 31	1861	422	600	
9269814	PEK	1	P32	2013 3 6 7 50	2013 3 7 18 19	2070	462	1440	
